Station ID,Cycle0 (Bef),Cycle0 (Aft),Cycle1 (Bef),Cycle1 (Aft),Cycle2 (Bef),Cycle2 (Aft),Cycle3 (Bef),Cycle3 (Aft),Cycle4 (Bef),Cycle4 (Aft),Cycle5 (Bef),Cycle5 (Aft),Cycle6 (Bef),Cycle6 (Aft),Cycle7 (Bef),Cycle7 (Aft),Cycle8 (Bef),Cycle8 (Aft),Cycle9 (Bef),Cycle9 (Aft),Cycle10 (Bef),Cycle10 (Aft),Cycle11 (Bef),Cycle11 (Aft)
135,-14,-14,-14,-14,-14,-14,-11,-11,1,1,-25,-25,-23,-23,-18,-18,-4,-5,-1,-1,-8,-8,-11,-11
136,-21,-21,-22,-22,-22,-22,-22,-22,-38,-38,-72,-72,-71,-71,-73,-73,-52,-52,-49,-49,-49,-49,-50,-50
138,-13,-13,-12,-12,-12,-12,-9,-9,-6,-6,-14,-14,-14,-14,-13,-13,-8,-8,-10,-10,-8,-8,-9,-9
139,-12,-12,-12,-12,-12,-12,-9,-9,-9,-9,-14,-14,-15,-15,-13,-13,-10,-10,-8,-8,-11,-11,-11,-11
140,-23,-23,-23,-23,-23,-23,-20,-20,-18,-18,-53,-53,-55,-55,-47,-47,-31,-31,-29,-29,-27,-27,-22,-22
141,-20,-20,-20,-20,-20,-20,-21,-21,-23,-23,-44,-44,-44,-44,-43,-43,-28,-28,-20,-20,-23,-23,-25,-25
142,-15,-15,-16,-16,-16,-16,-11,-11,-5,-5,-1,-1,0,0,-2,-2,0,0,0,0,-7,-7,-9,-9
143,-16,-16,-16,-16,-15,-15,-14,-14,-16,-16,-22,-22,-22,-22,-24,-24,-18,-18,-15,-15,-18,-18,-19,-19
144,-31,-31,-35,-35,-34,-34,-27,-27,-8,-7,5,-1,-1,-1,-1,0,0,0,-8,-8,-23,-23,-29,-29
145,-16,-16,-16,-16,-16,-16,-15,-15,-15,-15,-15,-15,-15,-15,-14,-14,-16,-16,-14,-14,-17,-17,-19,-19
146,-24,-24,-24,-24,-24,-24,-22,-22,-21,-21,-17,-17,-17,-17,-14,-14,-12,-12,-14,-14,-16,-16,-17,-17
148,-11,-11,-12,-12,-12,-12,-9,-9,1,1,0,0,0,1,3,0,4,1,4,4,-6,-6,-8,-8
149,-12,-12,-12,-12,-12,-12,-9,-9,-5,-5,-2,-2,-1,-1,-2,-2,-3,-3,-2,-2,-7,-7,-9,-9
150,-19,-19,-18,-18,-18,-18,-17,-17,-15,-15,-20,-20,-19,-19,-19,-19,-13,-13,-10,-10,-13,-13,-15,-15
151,-18,-18,-18,-18,-18,-18,-14,-14,-6,-6,-3,-3,-4,-4,-6,-6,-8,-8,-4,-4,-5,-5,-4,-4
152,-14,-14,-14,-14,-14,-14,-7,-8,5,1,-8,1,1,1,0,0,2,2,-1,-1,-10,-10,-14,-14
153,-18,-18,-20,-20,-20,-20,-11,-11,-2,-2,0,0,0,1,-2,-2,6,0,-2,-2,-24,-24,-37,-37
154,-24,-24,-24,-24,-20,-34,-2,-106,-7,-92,6,-3,3,-3,-10,3,-13,-13,-195,-195,-249,-249,-250,-250
