Station ID,Cycle0 (Bef),Cycle0 (Aft),Cycle1 (Bef),Cycle1 (Aft)
763,-32,-32,-32,-32
764,-23,-23,-23,-23
765,-27,-27,-27,-27
766,-17,-17,-17,-17
767,-21,-21,-22,-22
768,-24,-24,-24,-24
769,-14,-14,-15,-15
770,-21,-21,-24,-24
771,-14,-14,-13,-13
772,-23,-23,-20,-20
773,-15,-15,-16,-16
774,-14,-14,-10,-10
776,-14,-14,-16,-16
777,-14,-14,-13,-13
779,-19,-19,-19,-19
780,-17,-17,-16,-16
781,-21,-21,-21,-21
782,-16,-16,-16,-16
784,-23,-23,-25,-25
785,-43,-43,-40,-40
786,-30,-30,-31,-31
787,-24,-24,-24,-24
788,-23,-23,-23,-23
789,-28,-28,-28,-28
790,-18,-18,-15,-15
792,-28,-28,-29,-29
793,-19,-19,-19,-19
794,-19,-19,-19,-19
795,-19,-19,-18,-18
796,-20,-20,-19,-19
797,-21,-21,-19,-19
798,-17,-17,-14,-14
800,-21,-21,-23,-23
801,-20,-20,-20,-20
802,-22,-22,-22,-22
803,-16,-16,-15,-15
804,-17,-17,-18,-18
805,-18,-18,-20,-20
806,-18,-18,-20,-20
807,-16,-16,-16,-16
808,-23,-23,-20,-20
809,-19,-19,-19,-19
810,-21,-21,-23,-23
811,-25,-25,-25,-25
812,-18,-18,-19,-19
813,-25,-25,-29,-29
814,-21,-21,-23,-23
815,-23,-23,-26,-26
816,-19,-19,-19,-19
817,-18,-18,-19,-19
818,-8,-8,-4,-4
819,-25,-25,-27,-27
820,-16,-16,-16,-16
821,-18,-18,-20,-20
826,-19,-19,-19,-19
69,-15,-15,-15,-15
83,-12,-12,-21,-21
187,-16,-16,-16,-16
188,-10,-10,-9,-9
189,-12,-12,-13,-13
190,-13,-13,-14,-14
194,-37,-37,-36,-36
195,-20,-20,-18,-18
196,-11,-11,-11,-11
197,-18,-18,-18,-18
