Station ID,Cycle0 (Bef),Cycle0 (Aft),Cycle1 (Bef),Cycle1 (Aft)
658,-21,-21,-24,-24
659,-39,-39,-39,-39
660,-14,-14,-13,-13
661,-24,-24,-24,-24
662,-15,-15,-14,-14
663,-15,-15,-16,-16
664,-16,-16,-19,-19
665,-19,-19,-22,-22
666,-26,-26,-26,-26
667,-22,-22,-23,-23
668,-18,-18,-18,-18
669,-27,-27,-29,-29
670,-19,-19,-20,-20
671,-39,-39,-39,-39
672,-19,-19,-19,-19
673,-24,-24,-26,-26
674,-28,-28,-28,-28
675,-21,-21,-20,-20
676,-24,-24,-24,-24
677,-18,-18,-16,-16
678,-21,-21,-21,-21
679,-18,-18,-16,-16
680,-18,-18,-18,-18
681,-32,-32,-34,-34
682,-32,-32,-33,-33
683,-19,-19,-20,-20
684,-22,-22,-22,-22
685,-21,-21,-21,-21
686,-18,-18,-19,-19
687,-17,-17,-18,-18
688,-18,-18,-20,-20
689,-21,-21,-20,-20
690,-16,-16,-16,-16
691,-14,-14,-13,-13
692,-14,-14,-9,-9
693,-12,-12,-11,-11
694,-14,-14,-12,-12
695,-12,-12,-9,-9
696,-13,-13,-13,-13
697,-16,-16,-20,-20
698,-24,-24,-24,-24
699,-27,-27,-29,-29
700,-17,-17,-17,-17
701,-20,-20,-21,-21
702,-16,-16,-17,-17
703,-17,-17,-17,-17
704,-12,-12,-13,-13
706,-20,-20,-21,-21
707,-21,-21,-21,-21
708,-22,-22,-23,-23
709,-15,-15,-17,-17
710,-14,-14,-14,-14
711,-21,-21,-22,-22
712,-15,-15,-15,-15
713,-15,-15,-15,-15
714,-19,-19,-19,-19
715,-15,-15,-18,-18
716,-16,-16,-18,-18
717,-29,-29,-30,-30
718,-30,-30,-30,-30
719,-22,-22,-22,-22
720,-16,-16,-18,-18
721,-12,-12,-12,-12
722,-13,-13,-14,-14
723,-33,-33,-33,-33
724,-19,-19,-19,-19
725,-19,-19,-20,-20
726,-14,-14,-14,-14
727,-15,-15,-20,-20
728,-20,-20,-20,-20
729,-16,-16,-14,-14
730,-11,-11,-12,-12
731,-24,-24,-23,-23
732,-11,-11,-19,-19
733,-11,-11,-12,-12
734,-21,-21,-21,-21
735,-24,-24,-22,-22
736,-19,-19,-19,-19
737,-16,-16,-16,-16
738,-25,-25,-28,-28
