Station ID,Time,Out,In,Delta
0,2017-09-06 12:00:00,117,137,20
0,2017-09-06 14:00:00,136,117,-19
0,2017-09-06 16:00:00,368,239,-129
0,2017-09-06 18:00:00,368,402,34
0,2017-09-06 20:00:00,119,135,16
0,2017-09-06 22:00:00,72,70,-2
0,2017-09-07 00:00:00,16,20,4
0,2017-09-07 02:00:00,4,7,3
0,2017-09-07 04:00:00,16,7,-9
0,2017-09-07 06:00:00,176,174,-2
0,2017-09-07 08:00:00,484,464,-20
0,2017-09-07 10:00:00,115,123,8
0,2017-09-07 12:00:00,127,108,-19
0,2017-09-07 14:00:00,122,112,-10
0,2017-09-07 16:00:00,339,265,-74
0,2017-09-07 18:00:00,340,332,-8
0,2017-09-07 20:00:00,119,138,19
0,2017-09-07 22:00:00,50,47,-3
0,2017-09-08 00:00:00,36,20,-16
0,2017-09-08 02:00:00,9,8,-1
0,2017-09-08 04:00:00,9,7,-2
0,2017-09-08 06:00:00,78,91,13
0,2017-09-08 08:00:00,232,219,-13
0,2017-09-08 10:00:00,74,96,22
0,2017-09-08 12:00:00,33,40,7
0,2017-09-08 14:00:00,102,84,-18
0,2017-09-08 16:00:00,290,224,-66
0,2017-09-08 18:00:00,211,226,15
0,2017-09-08 20:00:00,76,124,48
0,2017-09-08 22:00:00,68,67,-1
0,2017-09-09 00:00:00,45,35,-10
0,2017-09-09 02:00:00,43,16,-27
0,2017-09-09 04:00:00,12,6,-6
0,2017-09-09 06:00:00,20,16,-4
0,2017-09-09 08:00:00,81,61,-20
0,2017-09-09 10:00:00,162,161,-1
0,2017-09-09 12:00:00,205,196,-9
0,2017-09-09 14:00:00,196,189,-7
0,2017-09-09 16:00:00,193,164,-29
0,2017-09-09 18:00:00,163,176,13
0,2017-09-09 20:00:00,58,109,51
0,2017-09-09 22:00:00,58,65,7
0,2017-09-10 00:00:00,66,37,-29
0,2017-09-10 02:00:00,33,25,-8
0,2017-09-10 04:00:00,16,14,-2
0,2017-09-10 06:00:00,8,10,2
0,2017-09-10 08:00:00,63,66,3
0,2017-09-10 10:00:00,126,175,49
0,2017-09-10 12:00:00,229,199,-30
0,2017-09-10 14:00:00,210,181,-29
0,2017-09-10 16:00:00,142,118,-24
0,2017-09-10 18:00:00,52,67,15
0,2017-09-10 20:00:00,38,39,1
0,2017-09-10 22:00:00,28,34,6
0,2017-09-11 00:00:00,16,10,-6
