Station ID,Cycle0 (Bef),Cycle0 (Aft),Cycle1 (Bef),Cycle1 (Aft),Cycle2 (Bef),Cycle2 (Aft),Cycle3 (Bef),Cycle3 (Aft)
363,-16,-16,-16,-16,-16,-16,-15,-15
364,-28,-28,-28,-28,-28,-28,-28,-28
365,-32,-32,-32,-32,-31,-31,-28,-24
366,-18,-18,-18,-18,-18,-18,-18,-18
367,-11,-11,-11,-11,-11,-11,-10,-10
368,-16,-16,-18,-18,-18,-18,-17,-17
370,-14,-14,-14,-14,-14,-14,-13,-13
371,-15,-15,-15,-15,-15,-15,-14,-12
372,-16,-16,-15,-15,-16,-16,-16,-16
373,-12,-12,-11,-11,-11,-11,-11,-11
374,-24,-24,-26,-26,-27,-31,2,-31
375,-12,-12,-12,-12,-12,-12,-8,-8
376,-15,-15,-16,-16,-16,-16,-15,-15
377,-9,-9,-10,-10,-10,-2,-1,-6
378,-28,-28,-29,-29,-29,-29,-29,-29
379,-14,-14,-16,-16,-16,-16,-12,-12
380,-14,-14,-14,-14,-14,-14,-14,-14
381,-9,-9,-8,-8,-8,-8,-8,-8
382,-10,-10,-10,-10,-10,-10,-10,-10
383,-10,-10,-4,-4,-4,-4,-4,-4
384,-10,-10,-10,-10,-9,-9,-8,-8
386,-9,-9,-8,-8,-8,-8,-7,-7
387,-21,-21,-21,-21,-20,-20,-17,-17
388,-8,-8,-9,-9,-9,-9,-8,-8
389,-12,-12,-12,-12,-12,-12,-13,-13
390,-27,-27,-28,-28,-28,-28,-27,-27
392,-13,-13,-13,-13,-13,-13,-12,-12
393,-10,-10,-10,-10,-10,-10,-4,-2
394,-12,-12,-12,-12,-12,-12,-10,-10
395,-10,-10,-10,-10,-10,-10,-10,-10
396,-10,-10,-11,-11,-11,-11,-9,-9
397,-11,-11,-12,-12,-12,-12,-6,-7
398,-21,-21,-21,-21,-21,-21,-20,-20
399,-13,-13,-15,-15,-15,-15,-12,-12
400,-17,-17,-18,-18,-18,-18,-17,-17
401,-14,-14,-15,-15,-16,-16,-9,-9
402,-10,-10,-10,-10,-9,-9,-8,-8
403,-11,-11,-10,-10,-10,-10,-8,-8
404,-9,-9,-9,-9,-9,-9,-6,-8
405,-8,-8,-5,-5,-6,-6,-5,-7
408,-26,-26,-28,-28,-28,-28,-27,-27
409,-28,-28,-28,-28,-28,-28,-23,-23
410,-43,-43,-44,-44,-43,-43,-42,-42
411,-22,-22,-22,-22,-22,-22,-19,-19
